id,part,type,partition,name,startAddr,endAddr,programAlign,eraseAlign
1,"PIC24EP128GP202",3,0,"program",0,88064,4,2048
2,"PIC24EP128GP204",3,0,"program",0,88064,4,2048
3,"PIC24EP128GP206",3,0,"program",0,88064,4,2048
4,"PIC24EP128MC202",3,0,"program",0,88064,4,2048
5,"PIC24EP128MC204",3,0,"program",0,88064,4,2048
6,"PIC24EP128MC206",3,0,"program",0,88064,4,2048
7,"PIC24EP256GP202",3,0,"program",0,176128,4,2048
8,"PIC24EP256GP204",3,0,"program",0,176128,4,2048
9,"PIC24EP256GP206",3,0,"program",0,176128,4,2048
10,"PIC24EP256GU810",3,0,"program",0,176128,4,2048
11,"PIC24EP256GU810",3,0,"auxflash",8372224,8388608,4,2048
12,"PIC24EP256GU810",5,0,"FGS",16252932,16252948,2,2
13,"PIC24EP256GU814",3,0,"program",0,176128,4,2048
14,"PIC24EP256GU814",3,0,"auxflash",8372224,8388608,4,2048
15,"PIC24EP256GU814",5,0,"FGS",16252932,16252948,2,2
16,"PIC24EP256MC202",3,0,"program",0,176128,4,2048
17,"PIC24EP256MC204",3,0,"program",0,176128,4,2048
18,"PIC24EP256MC206",3,0,"program",0,176128,4,2048
19,"PIC24EP32GP202",3,0,"program",0,22528,4,1024
20,"PIC24EP32GP203",3,0,"program",0,22528,4,1024
21,"PIC24EP32GP204",3,0,"program",0,22528,4,1024
22,"PIC24EP32MC202",3,0,"program",0,22528,4,1024
23,"PIC24EP32MC203",3,0,"program",0,22528,4,1024
24,"PIC24EP32MC204",3,0,"program",0,22528,4,1024
25,"PIC24EP512GP202",3,0,"program",0,350208,4,2048
26,"PIC24EP512GP204",3,0,"program",0,350208,4,2048
27,"PIC24EP512GP206",3,0,"program",0,350208,4,2048
28,"PIC24EP512GP806",3,0,"program",0,350208,4,2048
29,"PIC24EP512GP806",3,0,"auxflash",8372224,8388608,4,2048
30,"PIC24EP512GP806",5,0,"FGS",16252932,16252948,2,2
31,"PIC24EP512GU810",3,0,"program",0,350208,4,2048
32,"PIC24EP512GU810",3,0,"auxflash",8372224,8388608,4,2048
33,"PIC24EP512GU810",5,0,"FGS",16252932,16252948,2,2
34,"PIC24EP512GU814",3,0,"program",0,350208,4,2048
35,"PIC24EP512GU814",3,0,"auxflash",8372224,8388608,4,2048
36,"PIC24EP512GU814",5,0,"FGS",16252932,16252948,2,2
37,"PIC24EP512MC202",3,0,"program",0,350208,4,2048
38,"PIC24EP512MC204",3,0,"program",0,350208,4,2048
39,"PIC24EP512MC206",3,0,"program",0,350208,4,2048
40,"PIC24EP64GP202",3,0,"program",0,45056,4,2048
41,"PIC24EP64GP203",3,0,"program",0,45056,4,2048
42,"PIC24EP64GP204",3,0,"program",0,45056,4,2048
43,"PIC24EP64GP206",3,0,"program",0,45056,4,2048
44,"PIC24EP64MC202",3,0,"program",0,45056,4,2048
45,"PIC24EP64MC203",3,0,"program",0,45056,4,2048
46,"PIC24EP64MC204",3,0,"program",0,45056,4,2048
47,"PIC24EP64MC206",3,0,"program",0,45056,4,2048
48,"PIC24F04KA200",3,0,"program",512,2816,64,64
49,"PIC24F04KA200",5,0,"FBS",16252928,16252930,2,2
50,"PIC24F04KA200",5,0,"FGS",16252932,16252946,2,2
51,"PIC24F04KA201",3,0,"program",512,2816,64,64
52,"PIC24F04KA201",5,0,"FBS",16252928,16252930,2,2
53,"PIC24F04KA201",5,0,"FGS",16252932,16252946,2,2
54,"PIC24F04KL100",3,0,"program",512,2816,64,64
55,"PIC24F04KL100",5,0,"FBS",16252928,16252930,2,2
56,"PIC24F04KL100",5,0,"FGS",16252932,16252944,2,2
57,"PIC24F04KL101",3,0,"program",512,2816,64,64
58,"PIC24F04KL101",5,0,"FBS",16252928,16252930,2,2
59,"PIC24F04KL101",5,0,"FGS",16252932,16252944,2,2
60,"PIC24F08KA101",3,0,"program",512,5632,64,64
62,"PIC24F08KA101",5,0,"FBS",16252928,16252930,2,2
63,"PIC24F08KA101",5,0,"FGS",16252932,16252946,2,2
61,"PIC24F08KA101",6,0,"eedata",8388096,8388608,2,64
64,"PIC24F08KA102",3,0,"program",512,5632,64,64
66,"PIC24F08KA102",5,0,"FBS",16252928,16252930,2,2
67,"PIC24F08KA102",5,0,"FGS",16252932,16252946,2,2
65,"PIC24F08KA102",6,0,"eedata",8388096,8388608,2,64
68,"PIC24F08KL200",3,0,"program",512,5632,64,64
69,"PIC24F08KL200",5,0,"FBS",16252928,16252930,2,2
70,"PIC24F08KL200",5,0,"FGS",16252932,16252944,2,2
71,"PIC24F08KL201",3,0,"program",512,5632,64,64
72,"PIC24F08KL201",5,0,"FBS",16252928,16252930,2,2
73,"PIC24F08KL201",5,0,"FGS",16252932,16252944,2,2
74,"PIC24F08KL301",3,0,"program",512,5632,64,64
76,"PIC24F08KL301",5,0,"FBS",16252928,16252930,2,2
