id,part,type,partition,name,startAddr,endAddr,programAlign,eraseAlign
1,"PIC24EP128GP202",4,0,"Reserved",88044,88046,4,2048
2,"PIC24EP128GP202",4,0,"Reserved",88046,88048,4,2048
3,"PIC24EP128GP202",4,0,"FICD",88048,88050,4,2048
4,"PIC24EP128GP202",4,0,"FPOR",88050,88052,4,2048
5,"PIC24EP128GP202",4,0,"FWDT",88052,88054,4,2048
6,"PIC24EP128GP202",4,0,"FOSC",88054,88056,4,2048
7,"PIC24EP128GP202",4,0,"FOSCSEL",88056,88058,4,2048
8,"PIC24EP128GP202",4,0,"FGS",88058,88060,4,2048
9,"PIC24EP128GP202",4,0,"Reserved",88060,88062,4,2048
10,"PIC24EP128GP202",4,0,"Reserved",88062,88064,4,2048
11,"PIC24EP128GP202",4,0,"FUID0",8392696,8392698,4,2048
12,"PIC24EP128GP202",4,0,"FUID1",8392698,8392700,4,2048
13,"PIC24EP128GP202",4,0,"FUID2",8392700,8392702,4,2048
14,"PIC24EP128GP202",4,0,"FUID3",8392702,8392704,4,2048
15,"PIC24EP128GP204",4,0,"Reserved",88044,88046,4,2048
16,"PIC24EP128GP204",4,0,"Reserved",88046,88048,4,2048
17,"PIC24EP128GP204",4,0,"FICD",88048,88050,4,2048
18,"PIC24EP128GP204",4,0,"FPOR",88050,88052,4,2048
19,"PIC24EP128GP204",4,0,"FWDT",88052,88054,4,2048
20,"PIC24EP128GP204",4,0,"FOSC",88054,88056,4,2048
21,"PIC24EP128GP204",4,0,"FOSCSEL",88056,88058,4,2048
22,"PIC24EP128GP204",4,0,"FGS",88058,88060,4,2048
23,"PIC24EP128GP204",4,0,"Reserved",88060,88062,4,2048
24,"PIC24EP128GP204",4,0,"Reserved",88062,88064,4,2048
25,"PIC24EP128GP204",4,0,"FUID0",8392696,8392698,4,2048
26,"PIC24EP128GP204",4,0,"FUID1",8392698,8392700,4,2048
27,"PIC24EP128GP204",4,0,"FUID2",8392700,8392702,4,2048
28,"PIC24EP128GP204",4,0,"FUID3",8392702,8392704,4,2048
29,"PIC24EP128GP206",4,0,"Reserved",88044,88046,4,2048
30,"PIC24EP128GP206",4,0,"Reserved",88046,88048,4,2048
31,"PIC24EP128GP206",4,0,"FICD",88048,88050,4,2048
