id,part,type,partition,name,startAddr,endAddr,programAlign,eraseAlign
1,"PIC24EP128GP202",1,0,"sfrs",0,4096,0,0
3,"PIC24EP128GP202",2,0,"data",4096,20480,0,0
6,"PIC24EP128GP202",3,0,"reset",0,4,4,2048
7,"PIC24EP128GP202",3,0,"ivt",4,512,4,2048
8,"PIC24EP128GP202",3,0,"program",512,88044,4,2048
10,"PIC24EP128GP202",4,0,"cfgmem",88044,88064,4,2048
4,"PIC24EP128GP202",5,0,"userid",8392696,8392704,2,2
5,"PIC24EP128GP202",8,0,"testmem",8388608,8392696,0,0
12,"PIC24EP128GP202",8,0,"debug",8388608,8388616,0,0
9,"PIC24EP128GP202",8,0,"cfgwormmen",16252928,16252946,0,0
2,"PIC24EP128GP202",8,0,"emulreg",16580608,16580722,0,0
11,"PIC24EP128GP202",8,0,"devid",16711680,16711684,0,0
13,"PIC24EP128GP204",1,0,"sfrs",0,4096,0,0
15,"PIC24EP128GP204",2,0,"data",4096,20480,0,0
18,"PIC24EP128GP204",3,0,"reset",0,4,4,2048
19,"PIC24EP128GP204",3,0,"ivt",4,512,4,2048
20,"PIC24EP128GP204",3,0,"program",512,88044,4,2048
22,"PIC24EP128GP204",4,0,"cfgmem",88044,88064,4,2048
16,"PIC24EP128GP204",5,0,"userid",8392696,8392704,2,2
17,"PIC24EP128GP204",8,0,"testmem",8388608,8392696,0,0
24,"PIC24EP128GP204",8,0,"debug",8388608,8388616,0,0
21,"PIC24EP128GP204",8,0,"cfgwormmen",16252928,16252946,0,0
14,"PIC24EP128GP204",8,0,"emulreg",16580608,16580722,0,0
23,"PIC24EP128GP204",8,0,"devid",16711680,16711684,0,0
25,"PIC24EP128GP206",1,0,"sfrs",0,4096,0,0
27,"PIC24EP128GP206",2,0,"data",4096,20480,0,0
30,"PIC24EP128GP206",3,0,"reset",0,4,4,2048
31,"PIC24EP128GP206",3,0,"ivt",4,512,4,2048
32,"PIC24EP128GP206",3,0,"program",512,88044,4,2048
34,"PIC24EP128GP206",4,0,"cfgmem",88044,88064,4,2048
28,"PIC24EP128GP206",5,0,"userid",8392696,8392704,2,2
29,"PIC24EP128GP206",8,0,"testmem",8388608,8392696,0,0
36,"PIC24EP128GP206",8,0,"debug",8388608,8388616,0,0
33,"PIC24EP128GP206",8,0,"cfgwormmen",16252928,16252946,0,0
26,"PIC24EP128GP206",8,0,"emulreg",16580608,16580722,0,0
35,"PIC24EP128GP206",8,0,"devid",16711680,16711684,0,0
37,"PIC24EP128MC202",1,0,"sfrs",0,4096,0,0
39,"PIC24EP128MC202",2,0,"data",4096,20480,0,0
42,"PIC24EP128MC202",3,0,"reset",0,4,4,2048
43,"PIC24EP128MC202",3,0,"ivt",4,512,4,2048
44,"PIC24EP128MC202",3,0,"program",512,88044,4,2048
46,"PIC24EP128MC202",4,0,"cfgmem",88044,88064,4,2048
40,"PIC24EP128MC202",5,0,"userid",8392696,8392704,2,2
41,"PIC24EP128MC202",8,0,"testmem",8388608,8392696,0,0
48,"PIC24EP128MC202",8,0,"debug",8388608,8388616,0,0
45,"PIC24EP128MC202",8,0,"cfgwormmen",16252928,16252946,0,0
38,"PIC24EP128MC202",8,0,"emulreg",16580608,16580722,0,0
47,"PIC24EP128MC202",8,0,"devid",16711680,16711684,0,0
49,"PIC24EP128MC204",1,0,"sfrs",0,4096,0,0
51,"PIC24EP128MC204",2,0,"data",4096,20480,0,0
54,"PIC24EP128MC204",3,0,"reset",0,4,4,2048
55,"PIC24EP128MC204",3,0,"ivt",4,512,4,2048
56,"PIC24EP128MC204",3,0,"program",512,88044,4,2048
58,"PIC24EP128MC204",4,0,"cfgmem",88044,88064,4,2048
52,"PIC24EP128MC204",5,0,"userid",8392696,8392704,2,2
53,"PIC24EP128MC204",8,0,"testmem",8388608,8392696,0,0
60,"PIC24EP128MC204",8,0,"debug",8388608,8388616,0,0
57,"PIC24EP128MC204",8,0,"cfgwormmen",16252928,16252946,0,0
50,"PIC24EP128MC204",8,0,"emulreg",16580608,16580722,0,0
59,"PIC24EP128MC204",8,0,"devid",16711680,16711684,0,0
61,"PIC24EP128MC206",1,0,"sfrs",0,4096,0,0
63,"PIC24EP128MC206",2,0,"data",4096,20480,0,0
66,"PIC24EP128MC206",3,0,"reset",0,4,4,2048
67,"PIC24EP128MC206",3,0,"ivt",4,512,4,2048
68,"PIC24EP128MC206",3,0,"program",512,88044,4,2048
70,"PIC24EP128MC206",4,0,"cfgmem",88044,88064,4,2048
64,"PIC24EP128MC206",5,0,"userid",8392696,8392704,2,2
65,"PIC24EP128MC206",8,0,"testmem",8388608,8392696,0,0
72,"PIC24EP128MC206",8,0,"debug",8388608,8388616,0,0
69,"PIC24EP128MC206",8,0,"cfgwormmen",16252928,16252946,0,0
62,"PIC24EP128MC206",8,0,"emulreg",16580608,16580722,0,0
71,"PIC24EP128MC206",8,0,"devid",16711680,16711684,0,0
73,"PIC24EP256GP202",1,0,"sfrs",0,4096,0,0
75,"PIC24EP256GP202",2,0,"data",4096,36864,0,0
78,"PIC24EP256GP202",3,0,"reset",0,4,4,2048
79,"PIC24EP256GP202",3,0,"ivt",4,512,4,2048
80,"PIC24EP256GP202",3,0,"program",512,176108,4,2048
82,"PIC24EP256GP202",4,0,"cfgmem",176108,176128,4,2048
76,"PIC24EP256GP202",5,0,"userid",8392696,8392704,2,2
77,"PIC24EP256GP202",8,0,"testmem",8388608,8392696,0,0
84,"PIC24EP256GP202",8,0,"debug",8388608,8388616,0,0
81,"PIC24EP256GP202",8,0,"cfgwormmen",16252928,16252946,0,0
74,"PIC24EP256GP202",8,0,"emulreg",16580608,16580722,0,0
83,"PIC24EP256GP202",8,0,"devid",16711680,16711684,0,0
85,"PIC24EP256GP204",1,0,"sfrs",0,4096,0,0
87,"PIC24EP256GP204",2,0,"data",4096,36864,0,0
90,"PIC24EP256GP204",3,0,"reset",0,4,4,2048
91,"PIC24EP256GP204",3,0,"ivt",4,512,4,2048
92,"PIC24EP256GP204",3,0,"program",512,176108,4,2048
94,"PIC24EP256GP204",4,0,"cfgmem",176108,176128,4,2048
88,"PIC24EP256GP204",5,0,"userid",8392696,8392704,2,2
89,"PIC24EP256GP204",8,0,"testmem",8388608,8392696,0,0
96,"PIC24EP256GP204",8,0,"debug",8388608,8388616,0,0
93,"PIC24EP256GP204",8,0,"cfgwormmen",16252928,16252946,0,0
86,"PIC24EP256GP204",8,0,"emulreg",16580608,16580722,0,0
95,"PIC24EP256GP204",8,0,"devid",16711680,16711684,0,0
97,"PIC24EP256GP206",1,0,"sfrs",0,4096,0,0
99,"PIC24EP256GP206",2,0,"data",4096,36864,0,0
102,"PIC24EP256GP206",3,0,"reset",0,4,4,2048
103,"PIC24EP256GP206",3,0,"ivt",4,512,4,2048
104,"PIC24EP256GP206",3,0,"program",512,176108,4,2048
106,"PIC24EP256GP206",4,0,"cfgmem",176108,176128,4,2048
100,"PIC24EP256GP206",5,0,"userid",8392696,8392704,2,2
101,"PIC24EP256GP206",8,0,"testmem",8388608,8392696,0,0
108,"PIC24EP256GP206",8,0,"debug",8388608,8388616,0,0
105,"PIC24EP256GP206",8,0,"cfgwormmen",16252928,16252946,0,0
98,"PIC24EP256GP206",8,0,"emulreg",16580608,16580722,0,0
107,"PIC24EP256GP206",8,0,"devid",16711680,16711684,0,0
112,"PIC24EP256GU810",0,0,"dma",28672,32768,0,0
109,"PIC24EP256GU810",1,0,"sfrs",0,4096,0,0
111,"PIC24EP256GU810",2,0,"data",4096,28672,0,0
113,"PIC24EP256GU810",3,0,"reset",0,4,4,2048
114,"PIC24EP256GU810",3,0,"ivt",4,512,4,2048
115,"PIC24EP256GU810",3,0,"program",512,175104,4,2048
116,"PIC24EP256GU810",3,0,"auxflash",8372224,8388602,4,2048
117,"PIC24EP256GU810",3,0,"auxvector",8388602,8388604,4,2048
118,"PIC24EP256GU810",3,0,"auxreset",8388604,8388608,4,2048
120,"PIC24EP256GU810",5,0,"cfgmem",16252932,16252946,2,2
123,"PIC24EP256GU810",5,0,"userid",16252946,16252948,2,2
119,"PIC24EP256GU810",8,0,"testmem",8388608,8392704,0,0
122,"PIC24EP256GU810",8,0,"debug",8388608,8388616,0,0
110,"PIC24EP256GU810",8,0,"emulreg",16580608,16580722,0,0
121,"PIC24EP256GU810",8,0,"devid",16711680,16711684,0,0
127,"PIC24EP256GU814",0,0,"dma",28672,32768,0,0
124,"PIC24EP256GU814",1,0,"sfrs",0,4096,0,0
126,"PIC24EP256GU814",2,0,"data",4096,28672,0,0
128,"PIC24EP256GU814",3,0,"reset",0,4,4,2048
129,"PIC24EP256GU814",3,0,"ivt",4,512,4,2048
130,"PIC24EP256GU814",3,0,"program",512,175104,4,2048
131,"PIC24EP256GU814",3,0,"auxflash",8372224,8388602,4,2048
132,"PIC24EP256GU814",3,0,"auxvector",8388602,8388604,4,2048
133,"PIC24EP256GU814",3,0,"auxreset",8388604,8388608,4,2048
135,"PIC24EP256GU814",5,0,"cfgmem",16252932,16252946,2,2
138,"PIC24EP256GU814",5,0,"userid",16252946,16252948,2,2
134,"PIC24EP256GU814",8,0,"testmem",8388608,8392704,0,0
137,"PIC24EP256GU814",8,0,"debug",8388608,8388616,0,0
125,"PIC24EP256GU814",8,0,"emulreg",16580608,16580722,0,0
136,"PIC24EP256GU814",8,0,"devid",16711680,16711684,0,0
139,"PIC24EP256MC202",1,0,"sfrs",0,4096,0,0
141,"PIC24EP256MC202",2,0,"data",4096,36864,0,0
144,"PIC24EP256MC202",3,0,"reset",0,4,4,2048
145,"PIC24EP256MC202",3,0,"ivt",4,512,4,2048
146,"PIC24EP256MC202",3,0,"program",512,176108,4,2048
148,"PIC24EP256MC202",4,0,"cfgmem",176108,176128,4,2048
142,"PIC24EP256MC202",5,0,"userid",8392696,8392704,2,2
143,"PIC24EP256MC202",8,0,"testmem",8388608,8392696,0,0
150,"PIC24EP256MC202",8,0,"debug",8388608,8388616,0,0
147,"PIC24EP256MC202",8,0,"cfgwormmen",16252928,16252946,0,0
140,"PIC24EP256MC202",8,0,"emulreg",16580608,16580722,0,0
149,"PIC24EP256MC202",8,0,"devid",16711680,16711684,0,0
151,"PIC24EP256MC204",1,0,"sfrs",0,4096,0,0
153,"PIC24EP256MC204",2,0,"data",4096,36864,0,0
156,"PIC24EP256MC204",3,0,"reset",0,4,4,2048
157,"PIC24EP256MC204",3,0,"ivt",4,512,4,2048
158,"PIC24EP256MC204",3,0,"program",512,176108,4,2048
160,"PIC24EP256MC204",4,0,"cfgmem",176108,176128,4,2048
154,"PIC24EP256MC204",5,0,"userid",8392696,8392704,2,2
