part,CPUClass,programBlockSize,eraseBlockSize,devIDAddr,devIDMask,devID,revIDAddr,revIDMask,dsNum,dosNum,hasFlashConfigWords,BACKBUGRegName,BACKBUGAddr,BACKBUGPos,BACKBUGMask,BACKBUGAdjAffectedRegName,ReservedBitRegName,ReservedBitAddr,ReservedBitPos,ReservedBitAdjAffectedRegName,CodeProtectRegName,CodeProtectAddr,CodeProtectMask,dataOriginFile,dataOriginDate
"PIC24EP128GP202",2,4,2048,16711680,16777215,7769,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128GP202.PIC",1523547974000
"PIC24EP128GP204",2,4,2048,16711680,16777215,7768,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128GP204.PIC",1523547974000
"PIC24EP128GP206",2,4,2048,16711680,16777215,7771,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128GP206.PIC",1523547974000
"PIC24EP128MC202",2,4,2048,16711680,16777215,7761,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128MC202.PIC",1523547974000
"PIC24EP128MC204",2,4,2048,16711680,16777215,7760,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128MC204.PIC",1523547974000
"PIC24EP128MC206",2,4,2048,16711680,16777215,7763,16711682,16777215,70000657,0,1,"FICD",88048,7,128,"FPOR","FICD",88048,4,"FPOR","FGS",88058,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP128MC206.PIC",1523547974000
"PIC24EP256GP202",2,4,2048,16711680,16777215,8057,16711682,16777215,70000657,0,1,"FICD",176112,7,128,"FPOR","FICD",176112,4,"FPOR","FGS",176122,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256GP202.PIC",1523547974000
"PIC24EP256GP204",2,4,2048,16711680,16777215,8056,16711682,16777215,70000657,0,1,"FICD",176112,7,128,"FPOR","FICD",176112,4,"FPOR","FGS",176122,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256GP204.PIC",1523547974000
"PIC24EP256GP206",2,4,2048,16711680,16777215,8059,16711682,16777215,70000657,0,1,"FICD",176112,7,128,"FPOR","FICD",176112,4,"FPOR","FGS",176122,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256GP206.PIC",1523547974000
"PIC24EP256GU810",2,4,2048,16711680,16777215,6182,16711682,16777215,70000616,527,0,"FICD",16252942,7,128,,,0,0,,"FGS",16252932,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256GU810.PIC",1523547974000
"PIC24EP256GU814",2,4,2048,16711680,16777215,6183,16711682,16777215,70000616,527,0,"FICD",16252942,7,128,,,0,0,,"FGS",16252932,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256GU814.PIC",1523547974000
"PIC24EP256MC202",2,4,2048,16711680,16777215,8049,16711682,16777215,70000657,0,1,"FICD",176112,7,128,"FPOR","FICD",176112,4,"FPOR","FGS",176122,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256MC202.PIC",1523547974000
"PIC24EP256MC204",2,4,2048,16711680,16777215,8048,16711682,16777215,70000657,0,1,"FICD",176112,7,128,"FPOR","FICD",176112,4,"FPOR","FGS",176122,2,"C:\Program Files (x86)\Microchip\MPLABX\v5.00\packs\Microchip\dsPIC33E-GM-GP-MC-GU-MU_DFP\0.1.17\edc\PIC24EP256MC204.PIC",1523547974000
